timestamp,agent.name,rule.description,rule.level,rule.id
"Sep 14, 2026 @ 15:33:09.384","Cyber-DC","Registry Value Entry Added to the System","5","752"
"Sep 14, 2026 @ 15:33:09.373","Cyber-DC","Registry Value Entry Added to the System","5","752"
"Sep 14, 2026 @ 15:33:09.355","Cyber-DC","Registry Value Entry Added to the System","5","752"
"Sep 14, 2026 @ 15:33:09.352","Cyber-DC","Registry Value Entry Added to the System","5","752"
"Sep 14, 2026 @ 15:33:09.337","Cyber-DC","Registry Key Entry Added to the System","5","598"
"Sep 14, 2026 @ 15:33:09.337","Cyber-DC","Registry Value Entry Added to the System","5","752"
"Sep 14, 2026 @ 15:33:09.334","Cyber-DC","Registry Value Entry Added to the System","5","752"
"Sep 14, 2026 @ 15:33:09.289","Cyber-DC","Registry Key Entry Added to the System","5","598"
"Sep 14, 2026 @ 15:33:09.243","Cyber-DC","Registry Value Entry Added to the System","5","752"
"Sep 14, 2026 @ 15:33:09.229","Cyber-DC","Registry Value Entry Added to the System","5","752"
"Sep 14, 2026 @ 15:33:09.210","Cyber-DC","Registry Value Entry Added to the System","5","752"
"Sep 14, 2026 @ 15:33:09.204","Cyber-DC","Registry Value Entry Added to the System","5","752"
"Sep 14, 2026 @ 15:33:09.203","Cyber-DC","Registry Value Entry Added to the System","5","752"
"Sep 14, 2026 @ 15:33:09.163","Cyber-DC","Registry Value Entry Added to the System","5","752"
