timestamp,agent.name,rule.description,rule.level,rule.id
"Sep 14, 2026 @ 15:59:32.275","Cyber-DC","Windows User Logoff","3","60137"
"Sep 14, 2026 @ 15:59:12.351","Cyber-DC","Registry Value Integrity Checksum Changed","5","750"
"Sep 14, 2026 @ 15:59:12.350","Cyber-DC","Registry Value Integrity Checksum Changed","5","750"
"Sep 14, 2026 @ 15:59:12.339","Cyber-DC","Registry Value Integrity Checksum Changed","5","750"
"Sep 14, 2026 @ 15:59:12.337","Cyber-DC","Registry Key Integrity Checksum Changed","5","594"
"Sep 14, 2026 @ 15:59:12.336","Cyber-DC","Registry Value Integrity Checksum Changed","5","750"
"Sep 14, 2026 @ 15:59:12.329","Cyber-DC","Registry Value Integrity Checksum Changed","5","750"
"Sep 14, 2026 @ 15:59:12.324","Cyber-DC","Registry Key Integrity Checksum Changed","5","594"
"Sep 14, 2026 @ 15:59:09.903","Cyber-DC","Windows User Logoff","3","60137"
"Sep 14, 2026 @ 15:59:09.902","Cyber-DC","Windows Logon Success","3","60106"
"Sep 14, 2026 @ 15:59:05.495","Cyber-DC","Registry Value Integrity Checksum Changed","5","750"
"Sep 14, 2026 @ 15:59:05.451","Cyber-DC","Registry Key Integrity Checksum Changed","5","594"
"Sep 14, 2026 @ 15:58:45.727","Cyber-DC","Security Enabled Global Group Changed","5","60148"
"Sep 14, 2026 @ 15:58:45.685","Cyber-DC","Domain Admins Group Changed","12","60159"
"Sep 14, 2026 @ 15:58:15.887","Cyber-DC","Windows User Logoff","3","60137"
"Sep 14, 2026 @ 15:58:12.018","Cyber-DC","Administrators Group Changed","12","60154"
"Sep 14, 2026 @ 15:58:12.018","Cyber-DC","Security Enabled Local Group Changed","5","60147"
"Sep 14, 2026 @ 15:58:09.904","Cyber-DC","Windows User Logoff","3","60137"
"Sep 14, 2026 @ 15:58:09.903","Cyber-DC","Windows Logon Success","3","60106"
"Sep 14, 2026 @ 15:58:00.876","Cyber-DC","Windows User Logoff","3","60137"
"Sep 14, 2026 @ 15:58:00.863","Cyber-DC","Windows User Logoff","3","60137"
"Sep 14, 2026 @ 15:58:00.860","Cyber-DC","Windows Logon Success","3","60106"
"Sep 14, 2026 @ 15:58:00.828","Cyber-DC","Windows User Logoff","3","60137"
"Sep 14, 2026 @ 15:58:00.813","Cyber-DC","Windows User Logoff","3","60137"
"Sep 14, 2026 @ 15:58:00.764","Cyber-DC","Windows Logon Success","3","60106"
"Sep 14, 2026 @ 15:58:00.755","Cyber-DC","Windows Logon Success","3","60106"
"Sep 14, 2026 @ 15:58:00.746","Cyber-DC","Windows Logon Success","3","60106"
"Sep 14, 2026 @ 15:58:00.742","Cyber-DC","Windows Logon Success","3","60106"
"Sep 14, 2026 @ 15:57:56.138","Cyber-DC","Registry Value Integrity Checksum Changed","5","750"
"Sep 14, 2026 @ 15:57:56.099","Cyber-DC","Registry Key Integrity Checksum Changed","5","594"
"Sep 14, 2026 @ 15:57:52.200","Cyber-DC","Registry Key Integrity Checksum Changed","5","594"
"Sep 14, 2026 @ 15:57:51.542","Cyber-DC","Registry Key Integrity Checksum Changed","5","594"
"Sep 14, 2026 @ 15:57:51.542","Cyber-DC","Registry Value Integrity Checksum Changed","5","750"
"Sep 14, 2026 @ 15:57:36.690","Cyber-DC","Software protection service scheduled successfully.","3","60642"
"Sep 14, 2026 @ 15:57:30.646","Cyber-DC","Summary event of the report's signatures.","4","60608"
"Sep 14, 2026 @ 15:57:27.420","Cyber-DC","Windows Logon Success","3","60106"
"Sep 14, 2026 @ 15:57:27.413","Cyber-DC","Summary event of the report's signatures.","4","60608"
"Sep 14, 2026 @ 15:57:27.413","Cyber-DC","Summary event of the report's signatures.","4","60608"
"Sep 14, 2026 @ 15:57:27.407","Cyber-DC","Windows application error event.","9","60602"
"Sep 14, 2026 @ 15:57:13.418","Cyber-DC","Windows User Logoff","3","60137"
"Sep 14, 2026 @ 15:57:13.416","Cyber-DC","Windows Logon Success","3","60106"
"Sep 14, 2026 @ 15:57:13.415","Cyber-DC","Windows User Logoff","3","60137"
"Sep 14, 2026 @ 15:57:13.411","Cyber-DC","Windows Logon Success","3","60106"
"Sep 14, 2026 @ 15:57:09.894","Cyber-DC","Windows User Logoff","3","60137"
"Sep 14, 2026 @ 15:57:09.891","Cyber-DC","Windows Logon Success","3","60106"
"Sep 14, 2026 @ 15:57:06.704","Cyber-DC","Windows User Logoff","3","60137"
"Sep 14, 2026 @ 15:56:55.936","Cyber-DC","Windows Logon Success","3","60106"
"Sep 14, 2026 @ 15:56:48.556","Cyber-DC","Windows User Logoff","3","60137"
"Sep 14, 2026 @ 15:56:48.552","Cyber-DC","Windows User Logoff","3","60137"
"Sep 14, 2026 @ 15:56:48.552","Cyber-DC","Windows User Logoff","3","60137"
"Sep 14, 2026 @ 15:56:48.542","Cyber-DC","Windows Logon Success","3","60106"
"Sep 14, 2026 @ 15:56:09.890","Cyber-DC","Windows Logon Success","3","60106"
"Sep 14, 2026 @ 15:56:09.890","Cyber-DC","Windows User Logoff","3","60137"
"Sep 14, 2026 @ 15:55:09.891","Cyber-DC","Windows User Logoff","3","60137"
"Sep 14, 2026 @ 15:55:09.887","Cyber-DC","Windows Logon Success","3","60106"
"Sep 14, 2026 @ 15:54:09.884","Cyber-DC","Windows Logon Success","3","60106"
"Sep 14, 2026 @ 15:54:09.884","Cyber-DC","Windows User Logoff","3","60137"
"Sep 14, 2026 @ 15:53:11.432","Cyber-DC","Windows User Logoff","3","60137"
"Sep 14, 2026 @ 15:53:09.878","Cyber-DC","Windows User Logoff","3","60137"
"Sep 14, 2026 @ 15:53:09.876","Cyber-DC","Windows Logon Success","3","60106"
"Sep 14, 2026 @ 15:53:00.690","Cyber-DC","Windows User Logoff","3","60137"
"Sep 14, 2026 @ 15:53:00.683","Cyber-DC","Windows User Logoff","3","60137"
"Sep 14, 2026 @ 15:53:00.682","Cyber-DC","Windows Logon Success","3","60106"
"Sep 14, 2026 @ 15:53:00.678","Cyber-DC","Windows User Logoff","3","60137"
"Sep 14, 2026 @ 15:53:00.677","Cyber-DC","Windows User Logoff","3","60137"
"Sep 14, 2026 @ 15:53:00.672","Cyber-DC","Windows Logon Success","3","60106"
"Sep 14, 2026 @ 15:53:00.669","Cyber-DC","Windows Logon Success","3","60106"
"Sep 14, 2026 @ 15:53:00.664","Cyber-DC","Windows Logon Success","3","60106"
"Sep 14, 2026 @ 15:52:56.495","Cyber-DC","Registry Key Integrity Checksum Changed","5","594"
"Sep 14, 2026 @ 15:52:12.899","Cyber-DC","Windows User Logoff","3","60137"
"Sep 14, 2026 @ 15:52:12.895","Cyber-DC","Windows Logon Success","3","60106"
"Sep 14, 2026 @ 15:52:12.889","Cyber-DC","Windows User Logoff","3","60137"
