timestamp,agent.name,rule.mitre.id,rule.mitre.tactic,rule.description,rule.level,rule.id
"Sep 14, 2026 @ 16:27:59.911","Cyber-DC",["T1078"],["Defense Evasion","Persistence","Privilege Escalation","Initial Access"],"Windows Logon Success","3","60106"
"Sep 14, 2026 @ 16:27:05.507","Cyber-DC",["T1078"],["Defense Evasion","Persistence","Privilege Escalation","Initial Access"],"Windows Logon Success","3","60106"
"Sep 14, 2026 @ 16:27:05.503","Cyber-DC",["T1484"],["Defense Evasion","Privilege Escalation"],"Special privileges assigned to new logon.","3","67028"
"Sep 14, 2026 @ 16:27:05.489","Cyber-DC",["T1078"],["Defense Evasion","Persistence","Privilege Escalation","Initial Access"],"Windows Logon Success","3","60106"
"Sep 14, 2026 @ 16:27:05.489","Cyber-DC",["T1078"],["Defense Evasion","Persistence","Privilege Escalation","Initial Access"],"Windows Logon Success","3","60106"
"Sep 14, 2026 @ 16:27:00.243","Cyber-DC",["T1565.001","T1112"],["Impact","Defense Evasion"],"Registry Value Integrity Checksum Changed","5","750"
"Sep 14, 2026 @ 16:27:00.242","Cyber-DC",["T1565.001","T1112"],["Impact","Defense Evasion"],"Registry Key Integrity Checksum Changed","5","594"
"Sep 14, 2026 @ 16:26:59.894","Cyber-DC",["T1078"],["Defense Evasion","Persistence","Privilege Escalation","Initial Access"],"Windows Logon Success","3","60106"
"Sep 14, 2026 @ 16:26:56.052","Cyber-DC",["T1078"],["Defense Evasion","Persistence","Privilege Escalation","Initial Access"],"Windows Logon Success","3","60106"
"Sep 14, 2026 @ 16:25:59.905","Cyber-DC",["T1078"],["Defense Evasion","Persistence","Privilege Escalation","Initial Access"],"Windows Logon Success","3","60106"
"Sep 14, 2026 @ 16:24:59.865","Cyber-DC",["T1078"],["Defense Evasion","Persistence","Privilege Escalation","Initial Access"],"Windows Logon Success","3","60106"
"Sep 14, 2026 @ 16:24:34.814","Cyber-DC",["T1565.001","T1112"],["Impact","Defense Evasion"],"Registry Value Integrity Checksum Changed","5","750"
"Sep 14, 2026 @ 16:24:34.771","Cyber-DC",["T1565.001","T1112"],["Impact","Defense Evasion"],"Registry Key Integrity Checksum Changed","5","594"
"Sep 14, 2026 @ 16:23:59.866","Cyber-DC",["T1078"],["Defense Evasion","Persistence","Privilege Escalation","Initial Access"],"Windows Logon Success","3","60106"
"Sep 14, 2026 @ 16:23:20.236","Cyber-DC",["T1565.001","T1112"],["Impact","Defense Evasion"],"Registry Key Integrity Checksum Changed","5","594"
"Sep 14, 2026 @ 16:23:19.467","Cyber-DC",["T1565.001","T1112"],["Impact","Defense Evasion"],"Registry Value Integrity Checksum Changed","5","750"
"Sep 14, 2026 @ 16:23:19.466","Cyber-DC",["T1565.001","T1112"],["Impact","Defense Evasion"],"Registry Key Integrity Checksum Changed","5","594"
"Sep 14, 2026 @ 16:23:01.314","Cyber-DC",["T1078"],["Defense Evasion","Persistence","Privilege Escalation","Initial Access"],"Windows Logon Success","3","60106"
"Sep 14, 2026 @ 16:23:01.280","Cyber-DC",["T1078"],["Defense Evasion","Persistence","Privilege Escalation","Initial Access"],"Windows Logon Success","3","60106"
"Sep 14, 2026 @ 16:23:01.216","Cyber-DC",["T1078"],["Defense Evasion","Persistence","Privilege Escalation","Initial Access"],"Windows Logon Success","3","60106"
"Sep 14, 2026 @ 16:23:01.142","Cyber-DC",["T1078"],["Defense Evasion","Persistence","Privilege Escalation","Initial Access"],"Windows Logon Success","3","60106"
